사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2015-07,1호선,0150,서울역,"1,516,950","1,353,937","216,823","200,733",2015-08-08 09:49:05
2015-07,1호선,0151,시청,"596,984","610,354","87,466","85,933",2015-08-08 09:49:05
2015-07,1호선,0152,종각,"1,211,949","1,187,589","153,389","146,585",2015-08-08 09:49:05
2015-07,1호선,0153,종로3가,"770,449","742,344","350,658","323,065",2015-08-08 09:49:05
2015-07,1호선,0154,종로5가,"510,403","531,880","271,441","261,327",2015-08-08 09:49:05
2015-07,1호선,0155,동대문,"321,376","369,573","136,815","145,342",2015-08-08 09:49:05
2015-07,1호선,0156,신설동,"364,157","357,387","126,726","122,579",2015-08-08 09:49:05
2015-07,1호선,0157,제기동,"271,001","267,140","297,165","311,317",2015-08-08 09:49:05
2015-07,1호선,0158,청량리(지하),"537,188","560,114","331,911","337,447",2015-08-08 09:49:05
2015-07,1호선,0159,동묘앞,"145,254","159,145","122,778","124,398",2015-08-08 09:49:05
2015-07,2호선,0201,시청,"668,226","667,665","59,985","56,258",2015-08-08 09:49:05
2015-07,2호선,0202,을지로입구,"1,295,764","1,318,732","122,810","115,072",2015-08-08 09:49:05
2015-07,2호선,0203,을지로3가,"478,235","472,913","89,631","85,890",2015-08-08 09:49:05
2015-07,2호선,0204,을지로4가,"271,670","277,293","100,943","99,985",2015-08-08 09:49:05
2015-07,2호선,0205,동대문역사문화공원,"450,730","522,621","56,300","62,095",2015-08-08 09:49:05
2015-07,2호선,0206,신당,"335,015","354,375","103,740","105,289",2015-08-08 09:49:05
2015-07,2호선,0207,상왕십리,"260,255","243,468","58,310","58,840",2015-08-08 09:49:05
2015-07,2호선,0208,왕십리(성동구청),"524,103","450,839","57,723","49,968",2015-08-08 09:49:05
2015-07,2호선,0209,한양대,"244,908","274,849","14,814","15,958",2015-08-08 09:49:05
2015-07,2호선,0210,뚝섬,"381,479","405,849","65,181","65,640",2015-08-08 09:49:05
2015-07,2호선,0211,성수,"636,765","708,103","97,593","100,217",2015-08-08 09:49:05
2015-07,2호선,0212,건대입구,"1,221,890","1,356,167","95,817","100,429",2015-08-08 09:49:05
2015-07,2호선,0213,구의,"606,676","589,112","110,703","112,288",2015-08-08 09:49:05
2015-07,2호선,0214,강변,"1,375,082","1,387,900","141,029","140,332",2015-08-08 09:49:05
2015-07,2호선,0215,잠실나루,"447,361","423,056","79,957","80,806",2015-08-08 09:49:05
2015-07,2호선,0216,잠실,"2,289,553","2,103,444","197,834","185,484",2015-08-08 09:49:05
2015-07,2호선,0217,신천,"688,626","676,849","111,544","108,205",2015-08-08 09:49:05
2015-07,2호선,0218,종합운동장,"469,256","514,709","56,154","59,728",2015-08-08 09:49:05
2015-07,2호선,0219,삼성,"1,656,196","1,717,944","127,873","121,013",2015-08-08 09:49:05
2015-07,2호선,0220,선릉,"1,520,616","1,314,260","206,263","178,850",2015-08-08 09:49:05
2015-07,2호선,0221,역삼,"1,241,706","1,403,541","154,960","158,867",2015-08-08 09:49:05
2015-07,2호선,0222,강남,"3,129,660","3,196,576","165,404","148,158",2015-08-08 09:49:05
2015-07,2호선,0223,교대,"994,427","1,100,759","161,103","175,014",2015-08-08 09:49:05
2015-07,2호선,0224,서초,"601,581","619,938","76,705","77,726",2015-08-08 09:49:05
2015-07,2호선,0225,방배,"510,603","517,226","78,621","76,803",2015-08-08 09:49:05
2015-07,2호선,0226,사당,"1,144,593","1,296,492","190,707","178,035",2015-08-08 09:49:05
2015-07,2호선,0227,낙성대,"819,428","773,221","113,249","114,488",2015-08-08 09:49:05
2015-07,2호선,0228,서울대입구,"1,397,509","1,368,148","219,394","211,650",2015-08-08 09:49:05
2015-07,2호선,0229,봉천,"560,818","503,402","148,579","149,572",2015-08-08 09:49:05
2015-07,2호선,0230,신림,"1,962,115","1,897,460","246,507","251,414",2015-08-08 09:49:05
2015-07,2호선,0231,신대방,"678,070","635,782","127,247","131,598",2015-08-08 09:49:05
2015-07,2호선,0232,구로디지털단지,"1,751,699","1,759,693","155,954","158,344",2015-08-08 09:49:05
2015-07,2호선,0233,대림,"779,506","807,780","112,244","117,356",2015-08-08 09:49:05
2015-07,2호선,0234,신도림,"1,671,459","1,674,131","196,521","191,749",2015-08-08 09:49:05
2015-07,2호선,0235,문래,"498,245","505,401","83,083","81,615",2015-08-08 09:49:05
2015-07,2호선,0236,영등포구청,"537,168","541,089","107,469","104,398",2015-08-08 09:49:05
2015-07,2호선,0237,당산,"601,742","665,995","70,188","75,224",2015-08-08 09:49:05
2015-07,2호선,0238,합정,"922,764","944,672","75,710","72,833",2015-08-08 09:49:05
2015-07,2호선,0239,홍대입구,"1,974,537","2,152,124","121,053","117,547",2015-08-08 09:49:05
2015-07,2호선,0240,신촌,"1,337,052","1,392,450","147,320","144,667",2015-08-08 09:49:05
2015-07,2호선,0241,이대,"495,070","510,341","84,369","86,908",2015-08-08 09:49:05
2015-07,2호선,0242,아현,"224,571","208,874","63,081","62,159",2015-08-08 09:49:05
2015-07,2호선,0243,충정로,"280,645","304,158","54,047","53,883",2015-08-08 09:49:05
2015-07,2호선,0244,용답,"56,971","55,344","16,360","16,441",2015-08-08 09:49:05
2015-07,2호선,0245,신답,"32,059","36,161","10,435","11,379",2015-08-08 09:49:05
2015-07,2호선,0246,신설동,"80,767","78,970","32,943","33,133",2015-08-08 09:49:05
2015-07,2호선,0247,도림천,"22,807","25,569","6,171","7,094",2015-08-08 09:49:05
2015-07,2호선,0248,양천구청,"169,984","178,298","45,109","45,503",2015-08-08 09:49:05
2015-07,2호선,0249,신정네거리,"259,548","256,945","65,073","65,713",2015-08-08 09:49:05
2015-07,2호선,0250,용두,"43,207","45,744","21,959","23,648",2015-08-08 09:49:05
2015-07,3호선,0309,지축,"29,451","30,027","13,807","15,672",2015-08-08 09:49:05
2015-07,3호선,0310,구파발,"432,696","345,178","85,168","77,701",2015-08-08 09:49:05
2015-07,3호선,0311,연신내,"998,489","926,677","245,832","238,865",2015-08-08 09:49:05
2015-07,3호선,0312,불광,"421,465","456,455","143,568","157,727",2015-08-08 09:49:05
2015-07,3호선,0313,녹번,"357,922","296,557","80,617","80,283",2015-08-08 09:49:05
2015-07,3호선,0314,홍제,"452,531","407,168","150,985","150,558",2015-08-08 09:49:05
2015-07,3호선,0315,무악재,"92,516","87,801","34,017","36,710",2015-08-08 09:49:05
2015-07,3호선,0316,독립문,"156,772","158,081","72,725","72,669",2015-08-08 09:49:05
2015-07,3호선,0317,경복궁,"571,246","611,762","88,336","85,997",2015-08-08 09:49:05
2015-07,3호선,0318,안국,"626,323","687,188","124,718","134,002",2015-08-08 09:49:05
2015-07,3호선,0319,종로3가,"188,644","259,675","79,983","87,456",2015-08-08 09:49:05
2015-07,3호선,0320,을지로3가,"201,207","242,173","59,666","60,131",2015-08-08 09:49:05
2015-07,3호선,0321,충무로,34,0,2,0,2015-08-08 09:49:05
2015-07,3호선,0322,동대입구,"249,875","276,541","35,154","36,825",2015-08-08 09:49:05
2015-07,3호선,0323,약수,"349,754","331,021","87,821","85,375",2015-08-08 09:49:05
2015-07,3호선,0324,금호,"184,568","165,231","51,695","50,183",2015-08-08 09:49:05
2015-07,3호선,0325,옥수,"253,013","261,279","57,122","57,553",2015-08-08 09:49:05
2015-07,3호선,0326,압구정,"952,468","1,060,129","139,885","138,175",2015-08-08 09:49:05
2015-07,3호선,0327,신사,"848,799","943,866","74,619","71,895",2015-08-08 09:49:05
2015-07,3호선,0328,잠원,"137,062","131,892","31,300","30,823",2015-08-08 09:49:05
2015-07,3호선,0329,고속터미널,"1,441,305","1,531,032","172,920","171,185",2015-08-08 09:49:05
2015-07,3호선,0330,교대,"357,134","268,498","64,182","43,591",2015-08-08 09:49:05
2015-07,3호선,0331,남부터미널,"942,317","981,101","121,664","123,071",2015-08-08 09:49:05
2015-07,3호선,0332,양재,"1,074,895","1,174,344","158,415","159,453",2015-08-08 09:49:05
2015-07,3호선,0333,매봉,"302,016","293,277","54,539","49,465",2015-08-08 09:49:05
2015-07,3호선,0334,도곡,"180,710","169,980","26,025","21,287",2015-08-08 09:49:05
2015-07,3호선,0335,대치,"297,313","277,516","55,879","53,247",2015-08-08 09:49:05
2015-07,3호선,0336,학여울,"81,178","84,523","13,736","13,384",2015-08-08 09:49:05
2015-07,3호선,0337,대청,"256,845","234,676","48,076","46,969",2015-08-08 09:49:05
2015-07,3호선,0338,일원,"170,428","158,125","37,158","36,207",2015-08-08 09:49:05
2015-07,3호선,0339,수서,"283,354","291,753","77,766","77,369",2015-08-08 09:49:05
2015-07,3호선,0340,가락시장,"202,530","183,684","60,262","57,533",2015-08-08 09:49:05
2015-07,3호선,0341,경찰병원,"181,492","179,038","36,252","36,744",2015-08-08 09:49:05
2015-07,3호선,0342,오금,"176,330","153,721","23,580","22,574",2015-08-08 09:49:05
2015-07,4호선,0409,당고개,"306,134","283,556","94,346","94,765",2015-08-08 09:49:05
2015-07,4호선,0410,상계,"537,825","466,550","116,855","115,070",2015-08-08 09:49:05
2015-07,4호선,0411,노원,"606,758","696,356","91,638","89,801",2015-08-08 09:49:05
2015-07,4호선,0412,창동,"714,888","779,701","182,942","192,622",2015-08-08 09:49:05
2015-07,4호선,0413,쌍문,"842,425","700,261","165,877","160,186",2015-08-08 09:49:05
2015-07,4호선,0414,수유(강북구청),"1,107,465","1,059,447","254,740","254,862",2015-08-08 09:49:05
2015-07,4호선,0415,미아,"433,768","378,420","134,970","133,277",2015-08-08 09:49:05
2015-07,4호선,0416,미아사거리,"810,958","777,625","191,102","193,897",2015-08-08 09:49:05
2015-07,4호선,0417,길음,"666,907","612,116","149,502","150,005",2015-08-08 09:49:05
2015-07,4호선,0418,성신여대입구,"656,491","598,826","105,031","100,711",2015-08-08 09:49:05
2015-07,4호선,0419,한성대입구,"387,056","361,676","81,377","80,070",2015-08-08 09:49:05
2015-07,4호선,0420,혜화,"1,078,805","1,146,924","124,811","125,406",2015-08-08 09:49:05
2015-07,4호선,0421,동대문,"578,704","598,387","159,033","147,507",2015-08-08 09:49:05
2015-07,4호선,0422,동대문역사문화공원,"568,227","534,290","65,166","58,292",2015-08-08 09:49:05
2015-07,4호선,0423,충무로,"789,196","837,526","130,019","132,120",2015-08-08 09:49:05
2015-07,4호선,0424,명동,"909,260","1,006,197","67,722","70,096",2015-08-08 09:49:05
2015-07,4호선,0425,회현,"623,089","685,962","214,500","213,519",2015-08-08 09:49:05
2015-07,4호선,0426,서울역,"282,835","513,913","39,400","50,339",2015-08-08 09:49:05
2015-07,4호선,0427,숙대입구,"420,098","415,103","61,566","57,829",2015-08-08 09:49:05
2015-07,4호선,0428,삼각지,"117,095","150,218","29,510","31,752",2015-08-08 09:49:05
2015-07,4호선,0429,신용산,"343,277","370,882","52,887","52,841",2015-08-08 09:49:05
2015-07,4호선,0430,이촌,"236,442","267,280","44,000","47,164",2015-08-08 09:49:05
2015-07,4호선,0431,동작,"55,813","59,743","19,236","19,110",2015-08-08 09:49:05
2015-07,4호선,0432,총신대입구,"542,364","606,664","137,248","144,238",2015-08-08 09:49:05
2015-07,4호선,0433,사당,"889,429","677,595","95,472","95,192",2015-08-08 09:49:05
2015-07,4호선,0434,남태령,"22,174","18,527","7,520","7,154",2015-08-08 09:49:05
2015-07,경부선,1001,서울역,37,0,0,0,2015-08-08 09:49:05
2015-07,경부선,1002,남영,"283,186","299,627","41,856","42,986",2015-08-08 09:49:05
2015-07,경부선,1003,용산,"953,634","979,898","133,500","133,021",2015-08-08 09:49:05
