사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
2018-02,1호선,0150,서울역,"1,308,968","1,252,055","179,261","175,395",2018-03-03 11:59:48
2018-02,1호선,0151,시청,"553,832","551,112","81,569","80,265",2018-03-03 11:59:48
2018-02,1호선,0152,종각,"1,068,640","1,011,683","134,067","124,849",2018-03-03 11:59:48
2018-02,1호선,0153,종로3가,"585,497","553,061","311,066","289,125",2018-03-03 11:59:48
2018-02,1호선,0154,종로5가,"461,690","462,283","223,197","212,177",2018-03-03 11:59:48
2018-02,1호선,0155,동대문,"289,894","329,629","110,530","114,160",2018-03-03 11:59:48
2018-02,1호선,0156,신설동,"306,176","299,145","102,707","98,474",2018-03-03 11:59:48
2018-02,1호선,0157,제기동,"250,605","247,490","305,913","326,825",2018-03-03 11:59:48
2018-02,1호선,0158,청량리(서울시립대입구),"432,438","451,842","291,673","296,692",2018-03-03 11:59:48
2018-02,1호선,0159,동묘앞,"155,268","166,719","120,318","121,104",2018-03-03 11:59:48
2018-02,2호선,0201,시청,"598,072","566,574","50,040","46,013",2018-03-03 11:59:48
2018-02,2호선,0202,을지로입구,"1,220,745","1,201,560","96,689","88,246",2018-03-03 11:59:48
2018-02,2호선,0203,을지로3가,"470,727","459,635","74,886","73,486",2018-03-03 11:59:48
2018-02,2호선,0204,을지로4가,"245,223","242,263","79,871","76,805",2018-03-03 11:59:48
2018-02,2호선,0205,동대문역사문화공원,"402,033","463,478","48,788","52,399",2018-03-03 11:59:48
2018-02,2호선,0206,신당,"306,059","320,424","89,205","91,844",2018-03-03 11:59:48
2018-02,2호선,0207,상왕십리,"301,051","285,315","57,317","58,180",2018-03-03 11:59:48
2018-02,2호선,0208,왕십리(성동구청),"449,142","372,708","49,767","41,837",2018-03-03 11:59:48
2018-02,2호선,0209,한양대,"189,131","215,317","13,196","13,967",2018-03-03 11:59:48
2018-02,2호선,0210,뚝섬,"380,362","405,251","52,809","53,664",2018-03-03 11:59:48
2018-02,2호선,0211,성수,"611,166","664,689","86,703","88,214",2018-03-03 11:59:48
2018-02,2호선,0212,건대입구,"1,106,952","1,233,274","81,767","85,558",2018-03-03 11:59:48
2018-02,2호선,0213,구의(광진구청),"536,916","519,261","90,386","92,012",2018-03-03 11:59:48
2018-02,2호선,0214,강변(동서울터미널),"1,175,085","1,168,250","118,906","116,267",2018-03-03 11:59:48
2018-02,2호선,0215,잠실나루,"363,839","346,188","75,545","75,855",2018-03-03 11:59:48
2018-02,2호선,0216,잠실(송파구청),"2,261,682","2,121,145","186,583","176,708",2018-03-03 11:59:48
2018-02,2호선,0217,잠실새내,"595,576","611,041","100,976","99,676",2018-03-03 11:59:48
