,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울시 구별 일별 시간대별 교통사고 건수(2017년~2018년),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발생일,발생지_구,종로구,중구,용산구,성동구,동대문구,성북구,도봉구,은평구,서대문구,마포구,강서구,구로구,영등포구,동작구,관악구,강남구,강동구,송파구,서초구,양천구,중랑구,노원구,광진구,강북구,금천구,합계:,
,발생시간_분류,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,사고건수,
20170101,00시-02시,,,2,,,,,,,,,,,1,,,,2,1,1,2,1,,1,,11,
20170101,02시-04시,1,,1,,2,,,,,,1,,,,,3,1,3,2,,,,,,,14,
20170101,04시-06시,1,,,,,,,,,,1,,1,,,1,,,1,,,,,,2,7,
20170101,06시-08시,,,1,,,,,,,,,,,1,,,,,,,,,,,,2,
20170101,08시-10시,,,,,,,1,,,,,,,,,,,,,,,,,1,,2,
20170101,10시-12시,,1,,,,,,,,,,,,,,1,,,,,1,,1,,,4,
20170101,12시-14시,,,,,,,,,,,,1,1,1,1,,,,,,1,,,,,5,
20170101,14시-16시,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
20170101,16시-18시,,,,,,,,,,,,,,,1,,,,,,,1,,,,2,
20170101,18시-20시,1,,,,2,,,2,,1,3,,,,,,,1,,,1,1,,,1,13,
20170101,20시-22시,,,1,,,,,,,1,1,,,1,,,1,,,,,,1,,1,7,
20170101,22시-24시,,,1,,,,,,,,,,1,,,2,,,,,1,,,,,5,
20170102,00시-02시,,,,,,,,,,,,,2,1,,1,1,,,,,,,,,5,
20170102,02시-04시,,,,,,,,,,,,,,,,,1,,,,,,1,,,2,
20170102,04시-06시,,,,,,,,1,,1,,,,,,1,,,,,,,1,,,4,
20170102,06시-08시,,1,,,,,,,,1,,,,,,1,,1,,,,,,1,,5,
20170102,08시-10시,,,1,,,,,,1,1,,,1,,1,1,,,1,,,,1,1,,9,
20170102,10시-12시,,1,,,,,,,,,1,1,,,1,,,,1,,,,,,,5,
20170102,12시-14시,,,,1,,,1,,,,,,,,,,,,1,,,,,,,3,
20170102,14시-16시,,,,,1,,,,,,,,1,1,,1,,,,,1,1,,,,6,
20170102,16시-18시,1,1,1,,,3,,1,1,1,,1,,,,,,,,,,1,1,,1,13,
20170102,18시-20시,,,,,,,1,,,1,2,1,,,,1,,2,2,,1,,,,1,12,
20170102,20시-22시,1,,1,1,,,,,,2,1,2,2,1,,,1,1,,,,2,,1,,16,
20170102,22시-24시,,,,,,,,,,1,,,,,,,,,,,,,1,,,2,
20170103,00시-02시,,,1,,1,,,,,,1,1,,,,1,,,,1,,,,,2,8,
20170103,02시-04시,,,,,,,1,,,,,,,,,1,,,,,,1,,,,3,
20170103,04시-06시,,,,,,,,,,,,,,,,,,,2,,,,,,,2,
20170103,06시-08시,,,,,,,,,,1,1,,1,1,,,,,,1,1,,,1,,7,
20170103,08시-10시,,,,,,,1,,,1,,,,,,2,,,,,,,,,1,5,
20170103,10시-12시,,,1,1,,,,,,,,,2,1,1,1,,1,1,1,,,,,,10,
20170103,12시-14시,,,,1,,,,,1,,,,,,,1,,,,,1,1,1,,,6,
20170103,14시-16시,,,,,1,,1,,1,1,,,1,,,1,,,,1,1,,1,,,9,
20170103,16시-18시,1,1,,,1,,,,,,,,,,,,,2,,1,,,,,,6,
20170103,18시-20시,2,,,1,1,,,,,,1,,,,1,,,,2,1,,,,,,9,
20170103,20시-22시,,1,,,1,,,,,1,,2,2,,2,1,,,1,,1,,,,1,13,
20170103,22시-24시,1,,,1,,,,1,,1,,,,,1,2,,1,,1,,,,,1,10,
20170104,00시-02시,,1,,,,,,1,,,1,,3,,,,1,,,1,,,,,,8,
20170104,02시-04시,1,,,,,1,,,,1,,,,,1,2,,,,,1,,2,,,9,
20170104,04시-06시,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
20170104,06시-08시,1,1,1,,,,,,,,1,1,1,2,1,2,,,1,,,,,,,12,
20170104,08시-10시,,,,,,,,1,,1,,,,1,,,1,1,,2,1,2,,,,10,
20170104,10시-12시,,1,,,,1,1,,,2,1,,1,1,2,1,,1,1,,,1,,1,,15,
20170104,12시-14시,1,,,,,,,,1,1,,,1,1,,1,,2,,1,,,,,1,10,
20170104,14시-16시,,,,,,,,,,1,,,,,,1,,2,,,1,1,,1,,7,
20170104,16시-18시,,,,,1,,,1,2,,1,,1,,,,,1,,1,,,,,,8,
20170104,18시-20시,1,1,,1,1,1,1,1,,,,,1,2,1,,1,2,,,,2,,,,16,
20170104,20시-22시,1,,,1,1,,1,,,,2,,,,,1,1,2,,,,2,,,,12,
20170104,22시-24시,,,,,,,,,,,2,,1,1,,,1,,,,,1,,1,,7,
20170105,00시-02시,,1,,,,2,1,,1,,1,,,,,,,,,1,,1,,1,,9,
20170105,02시-04시,1,,,,,,1,,,,,,,,1,1,,,,,,,,1,,5,
20170105,04시-06시,,,,,,,,,,,,,1,,,1,,2,,,,1,,,,5,
20170105,06시-08시,,,,,1,,,,,1,,,,,,,,,,,,,,,,2,
20170105,08시-10시,,1,,,,1,,,,2,,,,,1,,,1,1,1,,,,1,,9,
20170105,10시-12시,1,,1,2,,1,,1,1,2,,2,,,,,,1,,1,1,1,1,,2,18,
20170105,12시-14시,1,,,,,1,,,1,,,,,,,1,,2,,1,,,,,,7,
20170105,14시-16시,,,,,,,,,1,,,,1,,,1,1,,,1,,1,,,,6,
20170105,16시-18시,,,,,1,,,,,,,1,1,1,,,,,,,,,,1,,5,
20170105,18시-20시,,1,,,2,1,2,,,,3,,1,,1,1,2,,1,1,1,,,1,1,19,
20170105,20시-22시,,,,1,,1,,,,2,,2,,,1,,,,1,1,,,,,,9,
20170105,22시-24시,,1,,,,,,,1,,,1,1,1,,1,,2,1,,,,,,,9,
20170106,00시-02시,,,,1,,,,,,1,,,,,,,1,,,,,,,,1,4,
20170106,02시-04시,,,,,,,,,,,,,1,,,,,,,1,,,,,,2,
20170106,04시-06시,,,,,,1,,,1,,,,,,2,1,,,,,,,,,,5,
20170106,06시-08시,,,,,,1,,,1,,,1,,,,1,,1,2,1,,1,2,,,11,
20170106,08시-10시,,,,,,,,2,,,,1,,2,,1,1,2,,1,,,1,,,11,
20170106,10시-12시,,,,,,,,,,1,2,,,,,4,,,,,,,,,,7,
20170106,12시-14시,,,,,,,,,,1,3,,,,,,,,,1,,,,,,5,
20170106,14시-16시,1,,,1,1,,,,,,,,,1,,,1,,2,,,,1,,,8,
20170106,16시-18시,,,,,1,,,,,,1,,,,1,2,,2,1,,,,,,,8,
20170106,18시-20시,,1,,,1,,,1,,1,,2,1,,1,,1,1,,1,,2,,,,13,
20170106,20시-22시,,,,1,,,1,,,2,,1,1,1,,,,1,2,,,1,,,,11,
20170106,22시-24시,1,,1,,1,,,,1,,1,,,,,,1,2,1,1,1,,,,,11,
20170107,00시-02시,1,,1,1,,,,,1,,,,1,,,,1,1,,,,1,,1,,9,
20170107,02시-04시,,,,,,,,,,,,,1,,1,1,1,1,1,,1,2,,1,,10,
20170107,04시-06시,1,,1,,,1,,2,,1,,,,1,,1,,,,,,,,,1,9,
20170107,06시-08시,,2,,,,,,1,,1,,,,,,,,,,1,,,,,,5,
20170107,08시-10시,,,,,,,1,,,,1,,2,1,,,,,,,,1,,,,6,
20170107,10시-12시,,,1,,1,1,1,1,,1,1,,1,,,1,,,,,,,,,,9,
20170107,12시-14시,,1,1,1,,,1,,,,,,,,,3,,,2,,,1,,,1,11,
20170107,14시-16시,,,,,1,,,,,,,,,,1,,1,2,,,,,,,,5,
20170107,16시-18시,,,1,,,1,,,,,,,,2,1,1,1,,1,,,1,1,,,10,
20170107,18시-20시,,,,1,2,1,,,,,1,,,,,,,,,,,1,,,,6,
20170107,20시-22시,,,,,1,,,,,1,,3,1,1,2,1,,1,1,,2,1,,1,1,17,
20170107,22시-24시,,,,,,,,,,2,,1,,,,1,,,1,,,,1,,,6,
20170108,00시-02시,,,,,,,,,1,,,,3,,,,,1,,,3,,,,,8,
20170108,02시-04시,,,,1,,,,1,,1,,,1,2,,,,1,,,,,,,,7,
20170108,04시-06시,,,,,2,,,,,1,,,1,1,,1,,,,,,,,,,6,
20170108,06시-08시,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
20170108,08시-10시,1,,,,,,,,1,,,,,,1,,,,,1,,,,,,4,
20170108,10시-12시,,1,,,,,1,,,,,,,,,1,1,,,1,,1,,,,6,
20170108,12시-14시,,1,1,,,,,,,,,,,,,,,,1,,,,,,,3,
20170108,14시-16시,,,,1,,,,,,,,,3,,,,1,,,,,,,,,5,
20170108,16시-18시,,,,,2,,,,,,,,,1,,,,1,,,,,,1,,5,
20170108,18시-20시,,,,,1,2,,1,,,,,,,,1,1,,1,,,2,,2,,11,
20170108,20시-22시,,1,,1,2,,,,,,,1,1,,,,1,,1,,1,1,,,,10,
20170108,22시-24시,,,,,,1,,,,,,,,1,,1,,2,1,,,,,,,6,
20170109,00시-02시,,,,,,,,1,,,,,,,,,,,,,,,,,,1,
20170109,02시-04시,,,,1,,1,,,,,,,,,,,,,,,,,,,,2,
20170109,04시-06시,1,,,,,,,,,,1,,,,,,,,,1,,,,,,3,
20170109,06시-08시,,,1,,1,,,,,1,,,,,,,,,2,1,1,,,,1,8,
20170109,08시-10시,,,,,,,,,,1,1,,,1,,3,,,,1,,,,,,7,
20170109,10시-12시,1,1,,,,,1,,,,1,1,,,,1,,,1,1,,,,,,8,
20170109,12시-14시,1,,1,1,,1,,,,,,,1,,,3,2,1,1,,1,,,,,13,
20170109,14시-16시,,,,,1,,,,,,1,1,,,,1,,1,2,1,,3,,,,11,
20170109,16시-18시,,2,,,,1,1,,,,,,1,,,1,,1,1,,1,2,,,,11,
20170109,18시-20시,,1,,,,1,1,,1,1,,,,,,1,,1,,,2,2,1,,,12,
20170109,20시-22시,1,1,,,,1,,,,1,1,1,1,1,,3,,2,1,,,,,1,,15,
20170109,22시-24시,,,1,,,,,,,,,,,,,1,,1,,1,,,,,,4,
20170110,00시-02시,,,1,,3,1,,2,1,,,,,,,2,,1,2,,,,,,,13,
20170110,02시-04시,,,,,,,,,,1,,,1,,1,1,,1,1,,,,,,,6,
20170110,04시-06시,,,1,1,,,,,,,,,,,,1,,,,,,,,,,3,
20170110,06시-08시,2,,,,1,,,,,,,,,1,,1,1,,2,1,,,,,,9,
20170110,08시-10시,,,,,2,,,,,,,1,1,2,,1,,,1,,,,,,,8,
20170110,10시-12시,,,1,,1,,1,,,,,1,,,2,1,,,,,,,,,,7,
20170110,12시-14시,,,,,1,,,,1,,1,1,1,,,3,,,,,,,,,,8,
20170110,14시-16시,,,,,,,,,1,1,,,1,1,,2,,1,,,1,1,,,1,10,
20170110,16시-18시,,1,,,,,1,,,1,,,1,1,,,,2,1,1,,1,,,,10,
20170110,18시-20시,,1,1,,,1,,,,,2,1,,1,,,,1,,,,,1,1,1,11,
20170110,20시-22시,,1,,,,,,,2,,2,,1,1,1,2,,1,,,,,1,1,,13,
20170110,22시-24시,,,,,1,,,,,,,,,,,1,,,,2,,,1,,1,6,
20170111,00시-02시,,1,,,1,1,,,1,,1,1,,1,,,,2,,,,,,,2,11,
